addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
addons,Addons,diagnostics,1,15,55,4.83,HealsCodes/statustimers,https://github.com/HealsCodes/statustimers/blob/HEAD/README.md,medium
aecho,Aecho,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
allseeingeye,Allseeingeye,general_qol,2,99,1263,2.66,Icydeath/ffxi-addons; ProjectTako/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/allseeingeye/README.md,medium
ambuloot,Ambuloot,economy_inventory,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/ambuloot/ambuloot.lua,high
anchor,Anchor,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/anchor/anchor.lua,high
ase,Ase,general_qol,1,18,3350,3.43,Lygre/addons,heuristic,low
assets,assets,general_qol,1,47,58,4.0,Tylas11/XivParty,https://github.com/Tylas11/XivParty/blob/HEAD/README.md,medium
assist,Assist,automation,2,12,797,3.78,DiscipleOfEris/Assist; DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/README.md,medium
atreplace,Atreplace,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/atreplace/README.md,medium
attackid,Attackid,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/attackid/README.md,medium
attackwithme,Attackwithme,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/attackwithme/attackwithme.lua,high
attend,Attend,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Attend/Attend.lua,high
auctionhelper,Auctionhelper,automation,3,79,957,2.21,Icydeath/ffxi-addons; Ivaar/Windower-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/AuctionHelper/README.md,medium
augments,Augments,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
autoassist,Autoassist,automation,1,13,1246,3.78,ekrividus/autoAssist,https://github.com/ekrividus/autoAssist,medium
autochain,Autochain,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
autocontrol,Autocontrol,automation,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/autocontrol/readme.md,medium
autocor,Autocor,automation,2,79,957,2.66,Icydeath/ffxi-addons; Ivaar/Windower-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/AutoCOR/AutoCOR.lua,high
autodnc,Autodnc,automation,1,79,957,3.78,Ivaar/Windower-addons,https://github.com/Ivaar/Windower-addons/blob/HEAD/README.md,medium
autogeo,Autogeo,automation,2,79,957,2.66,Icydeath/ffxi-addons; Ivaar/Windower-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
autoinvite,Autoinvite,automation,1,18,3350,3.43,Lygre/addons,https://github.com/Lygre/addons/blob/HEAD/autoinvite/autoinvite.lua,high
autojoin,Autojoin,automation,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/autojoin/autojoin.lua,high
automb,autoMB,combat_automation,1,7,863,4.0,ekrividus/autoMB,https://github.com/ekrividus/autoMB/blob/HEAD/README.md,medium
automining,Automining,general_qol,1,0,16,4.2,cybersoulwing/AutoMining,heuristic,low
autopup,Autopup,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/AutoPUP/AutoPUP.lua,high
autora,Autora,automation,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/AutoRA/AutoRA.lua,high
autoraise,Autoraise,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/AutoRaise/AutoRaise.lua,high
autosc,autoSC,combat_automation,1,5,695,4.0,ekrividus/autoSC,https://github.com/ekrividus/autoSC/blob/HEAD/README.md,medium
autoskillchain,Autoskillchain,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
autosynth,Autosynth,automation,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
autounm,Autounm,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/AutoUNM/autounm.lua,high
autovw,Autovw,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/AutoVW/autoVW.lua,high
